Id,count_non_null,count_zeros,missing_count,missing_ratio,mean,std,min,max,range,median,L1_S25_mean,L1_S25_count,L1_S25_std,L1_S24_mean,L1_S24_count,L1_S24_std,L3_S30_mean,L3_S30_count,L3_S30_std,L3_S29_mean,L3_S29_count,L3_S29_std,L0_S21_mean,L0_S21_count,L0_S21_std,L0_S22_mean,L0_S22_count,L0_S22_std,L0_S23_mean,L0_S23_count,L0_S23_std,L2_S26_mean,L2_S26_count,L2_S26_std,L2_S27_mean,L2_S27_count,L2_S27_std,L2_S28_mean,L2_S28_count,L2_S28_std,Response
4,162,29,806,0.8326446280991735,-0.019845679012345678,0.1384578134278652,-0.702,0.52,1.222,0.0,,0,,,0,,0.0038888888888888914,36,0.08344434510593711,-0.01432075471698113,53,0.20117575301069324,,0,,,0,,,0,,,0,,,0,,,0,,0
6,192,38,776,0.8016528925619835,0.0023489583333333327,0.09802028905778684,-0.48,0.315,0.7949999999999999,0.0,,0,,,0,,0.01844117647058823,68,0.06368658856285495,-0.005264150943396228,53,0.14202507239966686,-0.0029285714285714293,14,0.043310088158115496,,0,,,0,,,0,,,0,,,0,,0
7,190,40,778,0.8037190082644629,-0.0006842105263157908,0.10677913348242273,-0.48,0.506,0.986,0.0,,0,,,0,,-0.008999999999999998,68,0.06455288240555701,-0.010000000000000005,53,0.12911265206429973,,0,,,0,,,0,,,0,,,0,,,0,,0
9,190,38,778,0.8037190082644629,-0.0006473684210526304,0.1020788515034094,-0.48,0.402,0.882,0.0,,0,,,0,,0.008544117647058825,68,0.05397745074345464,-0.030150943396226412,53,0.12469214339361118,,0,,,0,,,0,,,0,,,0,,,0,,0
11,190,39,778,0.8037190082644629,-0.007647368421052633,0.10990239473596339,-0.347,0.52,0.867,0.0,,0,,,0,,-0.0034705882352941177,68,0.04580245401371705,-0.01732075471698113,53,0.15715839310229782,,0,,,0,,,0,,,0,,,0,,,0,,0
13,190,39,778,0.8037190082644629,0.013078947368421053,0.10668441855729095,-0.48,0.483,0.963,0.0,,0,,,0,,0.021705882352941176,68,0.0652563392754125,0.0008867924528301889,53,0.1345936420342813,,0,,,0,,,0,,,0,,,0,,,0,,0
14,192,39,776,0.8016528925619835,-0.009583333333333334,0.14003665688135422,-0.481,0.803,1.284,0.0,,0,,,0,,-0.02275,68,0.0814268969827465,0.00979245283018868,53,0.15607682507842166,,0,,-0.03885714285714286,14,0.13111348997241762,,0,,,0,,,0,,,0,,0
16,210,36,758,0.7830578512396694,0.004723809523809523,0.14650339220646652,-0.371,0.899,1.27,0.0,,0,,-0.029,49,0.13068074966625087,0.0029852941176470604,68,0.05466137074892113,0.007283018867924529,53,0.12675663802349316,,0,,,0,,,0,,0.19528571428571426,14,0.3803070477251908,,0,,,0,,0
18,158,27,810,0.8367768595041323,-0.0038544303797468354,0.11508384237774238,-0.268,0.52,0.788,0.0,,0,,,0,,-0.0060555555555555545,36,0.06543085530081985,0.028660377358490568,53,0.1572716835235015,,0,,,0,,,0,,,0,,,0,,,0,,0
23,160,28,808,0.8347107438016529,-0.001675,0.14143080847151254,-0.68,0.52,1.2000000000000002,0.0,,0,,,0,,-0.0009166666666666661,36,0.047650738264405273,0.004943396226415092,53,0.21007850319256477,0.01442857142857143,14,0.03243150008559884,,0,,,0,,,0,,,0,,,0,,0
26,190,39,778,0.8037190082644629,-0.0024157894736842097,0.09765190723927862,-0.501,0.336,0.837,0.0,,0,,,0,,0.0065294117647058825,68,0.050888074604589315,-0.03781132075471698,53,0.1178225616052463,,0,,,0,,,0,,,0,,,0,,,0,,0
27,158,32,810,0.8367768595041323,0.001500000000000002,0.14139274254116482,-0.384,0.626,1.01,0.0,,0,,,0,,0.01313888888888889,36,0.09574792881841293,0.024188679245283024,53,0.15599889750643134,,0,,,0,,,0,,,0,,,0,,,0,,0
28,155,28,813,0.8398760330578512,0.018980645161290326,0.1616166086588449,-0.702,0.52,1.222,0.0,,0,,,0,,0.014527777777777778,36,0.0638876183448544,0.036699999999999997,50,0.22648307140414065,,0,,,0,,,0,,,0,,,0,,,0,,0
31,159,33,809,0.8357438016528925,-0.012610062893081758,0.1431996442940601,-0.702,0.52,1.222,0.0,,0,,,0,,0.0009722222222222218,36,0.07988938284943432,-0.04019999999999999,50,0.2214916039317177,,0,,,0,,,0,,,0,,,0,,,0,,0
34,158,28,810,0.8367768595041323,0.005531645569620254,0.11570661729206747,-0.363,0.52,0.883,0.0,,0,,,0,,0.0007222222222222244,36,0.05621113825116925,0.029981132075471702,53,0.16499259780203168,,0,,,0,,,0,,,0,,,0,,,0,,0
38,190,37,778,0.8037190082644629,-0.010763157894736843,0.11796673242159798,-0.48,0.413,0.893,0.0,,0,,,0,,-0.006500000000000001,68,0.07467511723679018,0.0031886792452830237,53,0.156463322883791,,0,,,0,,,0,,,0,,,0,,,0,,0
41,160,31,808,0.8347107438016529,0.005443750000000002,0.12557138574001125,-0.358,0.52,0.878,0.0,,0,,,0,,0.01672222222222222,36,0.05279372858377951,0.03258490566037736,53,0.15010847794976395,,0,,,0,,-0.069,14,0.1027947918465193,,0,,,0,,,0,,0
44,190,40,778,0.8037190082644629,0.010047368421052631,0.12298312728261844,-0.511,0.343,0.8540000000000001,0.0,,0,,,0,,0.0003529411764705899,68,0.07270175524085348,0.015754716981132073,53,0.16329325974835973,,0,,,0,,,0,,,0,,,0,,,0,,0
47,160,27,808,0.8347107438016529,0.0053125,0.1118545319634154,-0.323,0.52,0.843,0.0,,0,,,0,,0.0011944444444444444,36,0.04406995701281215,0.008754716981132074,53,0.14660660411984508,,0,,,0,,0.051214285714285705,14,0.11942888361597559,,0,,,0,,,0,,0
49,190,38,778,0.8037190082644629,0.004731578947368421,0.12079120361396202,-0.516,0.52,1.036,0.0,,0,,,0,,0.0015882352941176468,68,0.051872759162280846,0.002169811320754714,53,0.17134263197656333,,0,,,0,,,0,,,0,,,0,,,0,,0
52,207,36,761,0.7861570247933884,0.007342995169082125,0.10878170550750403,-0.48,0.43,0.9099999999999999,0.0,0.024913043478260868,46,0.13929757532977244,,0,,0.02036764705882353,68,0.05410297103651564,-0.021056603773584908,53,0.14572833195503773,,0,,,0,,,0,,-0.014428571428571428,14,0.11096341343379412,,0,,,0,,0
55,192,42,776,0.8016528925619835,0.013760416666666669,0.09883491389717038,-0.48,0.396,0.876,0.0,,0,,,0,,0.03058823529411765,68,0.06442216993340791,0.010905660377358494,53,0.12846149739707155,,0,,,0,,-0.01492857142857143,14,0.11782024397407218,,0,,,0,,,0,,0
56,204,40,764,0.7892561983471075,-0.0002745098039215686,0.09099717495346883,-0.48,0.323,0.8029999999999999,0.0,,0,,,0,,-0.002529411764705881,68,0.056156622817046066,0.005415094339622642,53,0.1396235920612526,,0,,,0,,,0,,,0,,0.009214285714285713,14,0.07231999252406847,,0,,0
57,190,41,778,0.8037190082644629,0.01172105263157895,0.10773444266552949,-0.243,0.52,0.763,0.0,,0,,,0,,-0.007147058823529411,68,0.07030281298503231,0.04284905660377359,53,0.14452886273182405,,0,,,0,,,0,,,0,,,0,,,0,,0
63,192,38,776,0.8016528925619835,-0.006223958333333334,0.10030141406695474,-0.291,0.52,0.8109999999999999,0.0,,0,,,0,,0.010220588235294117,68,0.07969472455587553,-0.008962264150943396,53,0.14218324610058009,,0,,-0.02085714285714286,14,0.054553935404623825,,0,,,0,,,0,,,0,,0
68,190,41,778,0.8037190082644629,0.0035368421052631564,0.1124645797763042,-0.498,0.449,0.9470000000000001,0.0,,0,,,0,,0.009279411764705883,68,0.06476037243912967,-0.026641509433962266,53,0.13447520422562648,,0,,,0,,,0,,,0,,,0,,,0,,0
70,110,38,858,0.8863636363636364,0.005227272727272728,0.11994896920222886,-0.29,0.596,0.8859999999999999,0.0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0
71,190,37,778,0.8037190082644629,0.01093684210526316,0.12058703945786639,-0.48,0.448,0.9279999999999999,0.0,,0,,,0,,0.007294117647058824,68,0.07463964350659723,-0.015830188679245284,53,0.1552387411808832,,0,,,0,,,0,,,0,,,0,,,0,,0
72,192,38,776,0.8016528925619835,0.011661458333333334,0.10118339046880487,-0.48,0.335,0.815,0.003,,0,,,0,,0.0077794117647058845,68,0.05133496832358176,0.02249056603773585,53,0.15052710242057732,,0,,0.021714285714285717,14,0.04765650907423725,,0,,,0,,,0,,,0,,0
